tamanho,ano,garagem,predicted
159.0,2003,2,204143.55
117.0,1976,2,160306.86
166.0,2001,2,212494.44
160.0,1915,3,138400.06
204.0,2000,3,264622.16
127.0,1993,2,179714.28
157.0,2004,2,204143.55
194.0,1973,2,208896.27
165.0,1931,2,169215.03
100.0,1939,1,123801.77
97.0,1965,1,135621.47
216.0,2005,3,317600.34
85.0,1962,1,125920.02
139.0,2006,3,242593.9
116.0,1960,1,140351.42
79.0,1929,2,106109.445
93.0,1970,2,148581.7
120.0,1967,2,157596.81
103.0,2004,2,154965.25
124.0,1958,1,138019.53
221.0,2005,3,317600.34
103.0,1930,1,120453.2
167.0,2002,2,212494.44
98.0,1976,2,151359.7
98.0,1968,1,137807.19
149.0,2007,3,229453.45
84.0,1951,2,122756.695
158.0,2007,3,298268.44
149.0,1957,1,153391.69
48.0,1927,1,98912.7
122.0,1920,1,121885.89
114.0,1966,1,140351.42
115.0,2007,2,184921.23
158.0,1959,2,176155.8
145.0,2005,2,232465.27
228.0,2004,3,317600.34
102.0,1994,2,153659.3
120.0,1954,2,144333.3
98.0,1953,1,133412.06
107.0,1955,0,111659.45
123.0,1965,2,157596.81
123.0,1959,1,140351.42
82.0,1983,2,138313.83
87.0,1975,1,120668.15
107.0,1959,1,140351.42
163.0,2005,2,255639.23
200.0,2003,2,249137.66
154.0,2006,3,245256.94
135.0,1920,0,129757.82
89.0,1966,1,125920.02
137.0,1997,2,186452.14
109.0,1934,2,130904.56
76.0,1963,2,125769.914
171.0,1981,3,298951.1
126.0,1955,2,146396.53
132.0,1964,2,166143.5
162.0,1999,2,219302.94
160.0,2004,2,204143.55
274.0,2006,3,421797.66
72.0,1972,1,117582.07
108.0,2004,2,165312.34
103.0,1920,1,120453.2
127.0,2006,2,186607.64
159.0,1921,2,169215.03
189.0,1997,2,225775.88
230.0,2004,3,317600.34
205.0,1970,2,216298.27
137.0,2003,2,186452.14
69.0,1945,1,102345.84
212.0,1953,2,209008.45
207.0,1973,2,216298.27
79.0,1982,2,137439.56
160.0,1998,2,209563.03
101.0,1954,2,139468.97
149.0,1915,1,139638.55
92.0,1973,1,119507.555
88.0,1956,1,123588.13
119.0,1948,1,129996.52
164.0,1968,0,150449.17
114.0,1910,2,127546.46
199.0,1968,1,206489.02
124.0,1998,2,180304.11
145.0,2007,3,223979.28
99.0,1960,2,149539.8
137.0,1995,2,183119.81
225.0,1991,2,258633.36
145.0,2005,2,232465.27
114.0,2009,2,184921.23
142.0,1915,0,120704.95
92.0,1994,0,130121.66
97.0,1950,2,120448.64
115.0,1961,2,151644.58
90.0,1921,2,129514.89
213.0,1910,2,167253.47
166.0,1997,2,212494.44
137.0,1993,2,183119.81
148.0,1999,2,205912.2
89.0,1965,1,125920.02
78.0,1920,1,110510.84
114.0,1959,0,111659.45
150.0,1977,2,178633.86
161.0,1985,2,200174.3
143.0,1979,2,178633.86
114.0,2009,3,193146.08
169.0,1931,1,176323.19
185.0,2003,2,220356.39
97.0,1885,1,113589.35
73.0,1948,1,115769.55
141.0,1919,0,129660.76
171.0,1977,2,188126.92
172.0,1954,1,157366.89
133.0,2000,2,190416.03
250.0,2007,3,385970.06
210.0,1953,2,209008.45
216.0,1945,1,219020.55
135.0,1999,2,184892.47
101.0,1962,1,137807.19
105.0,2006,2,164270.66
299.0,1990,3,309974.4
135.0,2005,2,191419.34
92.0,1969,2,140801.66
104.0,1939,1,126346.02
100.0,1958,1,135475.3
111.0,1993,2,164006.39
147.0,1979,2,178633.86
70.0,1935,0,91920.3
89.0,1976,2,143171.88
78.0,1930,0,94057.69
125.0,1966,2,157596.81
98.0,1958,2,149539.8
200.0,1966,2,216298.27
191.0,2000,2,225775.88
123.0,1959,2,157596.81
120.0,2001,2,184399.88
160.0,1968,2,178633.86
156.0,1970,2,178633.86
113.0,1967,1,140351.42
182.0,1988,3,220203.88
172.0,1999,3,261036.84
164.0,1997,2,212494.44
80.0,1971,0,107766.88
161.0,2005,2,245899.33
129.0,1952,2,153404.7
139.0,1999,2,197337.03
161.0,1963,2,176155.8
159.0,2004,2,204143.55
81.0,1931,1,110510.84
189.0,2001,2,225775.88
100.0,2004,0,136130.3
125.0,1936,1,126346.02
90.0,1975,2,139340.7
159.0,2007,3,298268.44
185.0,1971,2,202129.84
116.0,1960,2,157596.81
111.0,1923,1,120453.2
102.0,1924,0,96124.25
97.0,1950,2,120448.64
183.0,2009,3,314747.1
181.0,2004,2,215068.81
229.0,2005,2,275834.78
114.0,1984,2,165618.6
248.0,2003,3,391425.4
143.0,2005,2,210199.0
82.0,1956,0,106652.805
150.0,1926,1,156469.7
126.0,1940,0,117569.35
173.0,1955,1,175874.34
201.0,2007,3,323727.9
160.0,2004,2,204143.55
159.0,1981,2,200174.3
128.0,1941,2,146136.05
154.0,1960,2,176155.8
164.0,1987,2,207613.8
127.0,1961,2,157596.81
153.0,1986,2,200174.3
200.0,1950,2,193298.64
191.0,1988,2,225952.78
178.0,1958,2,189493.56
208.0,2008,3,440418.34
90.0,1923,2,121001.46
142.0,2000,2,210549.69
167.0,1920,1,173954.03
124.0,1957,1,138019.53
193.0,2003,2,220356.39
116.0,1908,2,127762.53
335.0,1892,3,433515.97
113.0,1990,2,172093.3
154.0,1916,1,144994.1
114.0,1979,2,155582.25
148.0,2001,2,205912.2
253.0,1932,2,295185.03
137.0,1972,2,167839.23
133.0,1999,2,190416.03
159.0,2004,2,204143.55
80.0,1972,1,117582.07
135.0,1976,2,168388.05
160.0,2007,3,298268.44
289.0,1918,2,219818.58
207.0,1912,0,149591.84
159.0,2004,3,277428.4
104.0,2003,2,154965.25
119.0,1977,2,160306.86
122.0,1924,1,121885.89
79.0,2004,2,147743.25
119.0,1947,1,126346.02
134.0,1990,2,181560.14
158.0,1962,1,153391.69
102.0,1960,1,140351.42
192.0,1988,2,225952.78
101.0,1964,2,151542.42
80.0,1925,0,94057.69
113.0,2009,2,188851.17
172.0,2009,2,249447.17
92.0,1995,2,150226.36
129.0,1977,1,145426.33
115.0,1957,1,138019.53
133.0,2004,2,190416.03
123.0,1925,1,121885.89
182.0,1939,2,169127.7
116.0,2005,2,177238.7
139.0,2006,2,204489.72
211.0,2002,2,252375.55
144.0,1975,2,178633.86
80.0,1971,2,130408.36
222.0,2003,3,322171.2
121.0,1971,1,133938.95
234.0,1995,3,280717.88
92.0,1970,1,119507.555
85.0,1967,1,125920.02
144.0,2005,2,210199.0
111.0,1959,1,140351.42
260.0,1995,3,398375.97
92.0,1972,1,119507.555
83.0,1976,1,128889.99
182.0,2002,2,220488.3
92.0,1971,1,119507.555
131.0,2004,2,178934.55
162.0,1993,2,210491.7
157.0,2007,3,275935.7
138.0,1945,1,140282.94
145.0,2008,2,241737.22
80.0,1945,0,98620.73
134.0,1900,1,126516.12
113.0,1980,1,141039.7
196.0,1994,2,254109.25
174.0,1988,2,213287.78
179.0,1910,1,138332.05
128.0,1954,2,153404.7
155.0,2003,2,204143.55
199.0,1958,2,214011.67
121.0,1940,0,99789.53
151.0,2006,2,232465.27
152.0,2004,2,200492.72
121.0,1964,1,140351.42
122.0,1957,1,138019.53
213.0,1999,2,252375.55
161.0,2003,2,204143.55
149.0,2006,2,232465.27
166.0,2001,2,212494.44
82.0,1956,1,121662.65
128.0,1962,2,157596.81
